Country,Count
AND,1
LUX,2
MCO,2
ZAF,3
SVK,3
TTO,3
AZE,4
BOL,4
KHM,4
BGR,5
PAN,5
BRN,5
GTM,7
KAZ,8
FIN,8
MAR,9
CYP,10
BHS,10
COL,11
CRI,11
PRT,11
SLV,11
OMN,12
HUN,16
NOR,17
JOR,17
QAT,18
SWE,18
AUT,18
BEL,19
BHR,21
DNK,21
AUS,22
PRI,24
NZL,24
VNM,25
ROU,27
CZE,28
GRC,28
LBN,29
EGY,31
POL,53
NLD,59
CHE,61
IRL,73
IND,88
PER,89
CHL,96
ESP,101
SAU,102
BRA,102
KWT,106
ARG,108
RUS,109
SGP,130
FRA,132
ARE,144
DEU,160
MYS,234
IDN,268
THA,289
PHL,298
TUR,326
TWN,394
MEX,579
GBR,901
KOR,993
JPN,1237
CAN,1468
CHN,2734
USA,13608
